Folgentitel,Episode,Sprecher,Wertung
Kein guter Hitler,S3E04,Benjamin,10
Die Drei von der Luftschleuse,S4E10,Benjamin,10
Schmu der Luftschleuse,S4E14,Benjamin,10
Mit dem Kopf durch die Wand,S2E10,Benjamin,9
Vier Toaster im ironischen Nebel,S3E20,Benjamin,9
[Murloc gurgeln],S4E13,Benjamin,9
Starbucks Bitch und die nukleare Ohrenkrise,S1E03,Benjamin,8
Zwei für Unterwegs,S1E11 + S1E12,Benjamin,8
Lucy Lawless und die nackten Weltraumärsche,S2E08,Benjamin,8
Sexy Mom,S2E18,Benjamin,8
Thanks Adama,S2E19 + S2E20,Benjamin,8
The Eye of the Tigher,S3E01,Benjamin,8
Baltars Billy geluftschleust,S3E05,Benjamin,8
Der charismatische Katalysator mit schnödem Tuch über offenem Käfig,S3E08,Benjamin,8
Xena boxen,S3E12,Benjamin,8
Sprichwortalarm,S3E18,Benjamin,8
Atomic Shawn of the Dead,Razor,Benjamin,8
Kinderknast mit Michael,S4E08,Benjamin,8
Es wurde auch Zeit,S4E09,Benjamin,8
So uncivilized,S4E11,Benjamin,8
"Ich liebe es, wenn ein Plan funktioniert",Film: The Plan,Benjamin,8
Mit dem Kopf durch das Waschbecken,S4E17,Benjamin,8
Die Zylonenfleischtheke und das vibrierende Fliwatüüt,S1E05,Benjamin,7
Aggro JAG-Tante mit Hintergrund-Trommelmusik,S1E06,Benjamin,7
Moderne Holoknarren,S1E11,Benjamin,7
Hypochonder und Astralkörper,S2E07,Benjamin,7
Chief Bilbo und die Logikbombe,S2E09,Benjamin,7
"Liebe ""Zuschauer"" ...",S2E12,Benjamin,7
Bibi & Tina,S2E15,Benjamin,7
Admiral and Commander,S3E03,Benjamin,7
Kein Funfact!,S3E02,Benjamin,7
Cavil - Allein zu Haus,S3E06,Benjamin,7
Schwarzer Peter,S3E07,Benjamin,7
Strahlende Zukunft für Ricky Richardson,S3E10,Benjamin,7
Das ist eine pädagogische Entscheidung,S3E11,Benjamin,7
Baltar am Haken,S3E13,Benjamin,7
Sprengen!,S3E15,Benjamin,7
Es ist im Schiff!,S3E19,Benjamin,7
Blutiger Rasierunfall,S4E01,Benjamin,7
Rausgeblasen,S4E03,Benjamin,7
Sprung!,S4E07,Benjamin,7
Codename: Hot Dog ;-),S4E12,Benjamin,7
Redshirt,S2E01,Benjamin,6
Crashdown,S2E03,Benjamin,6
Das hört jetzt auf,S2E06,Benjamin,6
Mexican Standoff am Kindertisch,S2E11,Benjamin,6
Tief Luft holen,S2E17,Benjamin,6
Iehovah ist überall,S3E14,Benjamin,6
Wenns Pipi brennt,S4E02,Benjamin,6
Chamalla-Extrakt mit den grünen Streifen,S1E04,Benjamin,5
Enhance,S1E07,Benjamin,5
Water Bucket Challenge,S1E08,Benjamin,5
Kill Billy,S2E16,Benjamin,5
Kampfstern Galactica,Der Kinofilm,Benjamin,5
Für eine Handvoll Sellerie,Webisodes: The Resistance,Benjamin,5
Fünf Minuten hätten gereicht,S4E05,Benjamin,5
"Kopfschuss, nachladen, ... leer",S2E02,Benjamin,4
Der Vorbote des Todes,S4E06,Benjamin,4
Das hoffen wir alle,Pilotfilm – Miniserie Teil 2,Benjamin,3
Tigh auf dem Trockenen,S1E02,Benjamin,6
Schlaflos im Weltraum,S1E01,Benjamin,8
Ich übernehme das Kommando über die Flotte,Pilotfilm - Miniserie Teil 1,Benjamin,NULL
Im Weltraum hörst du nur den Regen,10-jähriges Serientreffen auf ATX Television Festival und Comic Con 2017,Benjamin,NULL
Technischer KO bei Klitschkos Regiedebut,S3E09,Benjamin,NULL
Weihnachtsgruß,NULL,Benjamin,NULL
Ein Ding der Historie,DLC,Benjamin,NULL
Chief Bilbo und die Logikbombe,S2E09,Jan,10
Kein guter Hitler,S3E04,Jan,10
Die Drei von der Luftschleuse,S4E10,Jan,10
[Murloc gurgeln],S4E13,Jan,10
Lucy Lawless und die nackten Weltraumärsche,S2E08,Jan,9
Der charismatische Katalysator mit schnödem Tuch über offenem Käfig,S3E08,Jan,9
Es wurde auch Zeit,S4E09,Jan,9
Schmu der Luftschleuse,S4E14,Jan,9
Blade Runner und die alte Dame,S4E15,Jan,9
Kiffen bei Cottle,S4E18,Jan,9
Schwangerschaftskotze,S1E10,Jan,8
Zwei für Unterwegs,S1E11 + S1E12,Jan,8
Sexy Mom,S2E18,Jan,8
Admiral and Commander,S3E03,Jan,8
Baltars Billy geluftschleust,S3E05,Jan,8
Cavil - Allein zu Haus,S3E06,Jan,8
Xena boxen,S3E12,Jan,8
Nicht so Arm dran,S3E16,Jan,8
Sprichwortalarm,S3E18,Jan,8
Vier Toaster im ironischen Nebel,S3E20,Jan,8
Atomic Shawn of the Dead,Razor,Jan,8
Blutiger Rasierunfall,S4E01,Jan,8
Kinderknast mit Michael,S4E08,Jan,8
"Ich liebe es, wenn ein Plan funktioniert",Film: The Plan,Jan,8
Starbucks Bitch und die nukleare Ohrenkrise,S1E03,Jan,7
Die Zylonenfleischtheke und das vibrierende Fliwatüüt,S1E05,Jan,7
Die guten alten Übungen,S1E09,Jan,7
Für zwei Tropfen du Blödmann,S2E04,Jan,7
Das hört jetzt auf,S2E06,Jan,7
Hypochonder und Astralkörper,S2E07,Jan,7
Thanks Adama,S2E19 + S2E20,Jan,7
Schwarzer Peter,S3E07,Jan,7
Es ist im Schiff!,S3E19,Jan,7
Wenns Pipi brennt,S4E02,Jan,7
Rausgeblasen,S4E03,Jan,7
So uncivilized,S4E11,Jan,7
Enhance,S1E07,Jan,6
Aggro JAG-Tante mit Hintergrund-Trommelmusik,S1E06,Jan,6
War nicht immer langweilig,S2E05,Jan,6
Bibi & Tina,S2E15,Jan,6
Kampfstern Galactica,Der Kinofilm,Jan,6
Baltar am Haken,S3E13,Jan,6
Der Vorbote des Todes,S4E06,Jan,6
Codename: Hot Dog ;-),S4E12,Jan,6
Stärke kommt aus dem Inneren ... und Waffen!,S4E16,Jan,6
Mit dem Kopf durch das Waschbecken,S4E17,Jan,6
Chamalla-Extrakt mit den grünen Streifen,S1E04,Jan,5
Für eine Handvoll Sellerie,Webisodes: The Resistance,Jan,5
Das ist eine pädagogische Entscheidung,S3E11,Jan,5
"11 Uhr Vater, 11 Uhr!",S3E17,Jan,5
Head Ellen,S4E04,Jan,5
Fünf Minuten hätten gereicht,S4E05,Jan,5
Water Bucket Challenge,S1E08,Jan,4
Krawattenträger des Jahres,S2E13,Jan,4
Iehovah ist überall,S3E14,Jan,4
Sherlock Lee und Snacks für Fisk,S2E14,Jan,3
Ich übernehme das Kommando über die Flotte,Pilotfilm - Miniserie Teil 1,Jan,NULL
Im Weltraum hörst du nur den Regen,10-jähriges Serientreffen auf ATX Television Festival und Comic Con 2017,Jan,NULL
Weihnachtsgruß,NULL,Jan,NULL
Ein Ding der Historie,DLC,Jan,NULL
Die Drei von der Luftschleuse,S4E10,Marijo,10
[Murloc gurgeln],S4E13,Marijo,10
Aggro JAG-Tante mit Hintergrund-Trommelmusik,S1E06,Marijo,9
Schwangerschaftskotze,S1E10,Marijo,9
Mit dem Kopf durch die Wand,S2E10,Marijo,9
The Eye of the Tigher,S3E01,Marijo,9
Vier Toaster im ironischen Nebel,S3E20,Marijo,9
Atomic Shawn of the Dead,Razor,Marijo,9
Schmu der Luftschleuse,S4E14,Marijo,9
Starbucks Bitch und die nukleare Ohrenkrise,S1E03,Marijo,8
Für zwei Tropfen du Blödmann,S2E04,Marijo,8
Chief Bilbo und die Logikbombe,S2E09,Marijo,8
"Liebe ""Zuschauer"" ...",S2E12,Marijo,8
Kein Funfact!,S3E02,Marijo,8
Baltars Billy geluftschleust,S3E05,Marijo,8
Cavil - Allein zu Haus,S3E06,Marijo,8
Sprung!,S4E07,Marijo,8
Es wurde auch Zeit,S4E09,Marijo,8
So uncivilized,S4E11,Marijo,8
Blade Runner und die alte Dame,S4E15,Marijo,8
"Ich liebe es, wenn ein Plan funktioniert",Film: The Plan,Marijo,8
Kiffen bei Cottle,S4E18,Marijo,8
Die guten alten Übungen,S1E09,Marijo,7
Hypochonder und Astralkörper,S2E07,Marijo,7
Kill Billy,S2E16,Marijo,7
Tief Luft holen,S2E17,Marijo,7
Thanks Adama,S2E19 + S2E20,Marijo,7
Iehovah ist überall,S3E14,Marijo,7
Es ist im Schiff!,S3E19,Marijo,7
Blutiger Rasierunfall,S4E01,Marijo,7
Stärke kommt aus dem Inneren ... und Waffen!,S4E16,Marijo,7
Mit dem Kopf durch das Waschbecken,S4E17,Marijo,7
Die Zylonenfleischtheke und das vibrierende Fliwatüüt,S1E05,Marijo,6
War nicht immer langweilig,S2E05,Marijo,6
Lucy Lawless und die nackten Weltraumärsche,S2E08,Marijo,6
Mexican Standoff am Kindertisch,S2E11,Marijo,6
Strahlende Zukunft für Ricky Richardson,S3E10,Marijo,6
Wenns Pipi brennt,S4E02,Marijo,6
Das hört jetzt auf,S2E06,Marijo,5
Krawattenträger des Jahres,S2E13,Marijo,5
Für eine Handvoll Sellerie,Webisodes: The Resistance,Marijo,5
Sprengen!,S3E15,Marijo,5
"11 Uhr Vater, 11 Uhr!",S3E17,Marijo,5
Head Ellen,S4E04,Marijo,5
Nicht so Arm dran,S3E16,Marijo,4
Das hoffen wir alle,Pilotfilm – Miniserie Teil 2,Marijo,3
Tigh auf dem Trockenen,S1E02,Marijo,3
Chamalla-Extrakt mit den grünen Streifen,S1E04,Marijo,3
Fünf Minuten hätten gereicht,S4E05,Marijo,3
Schlaflos im Weltraum,S1E01,Marijo,8
Sherlock Lee und Snacks für Fisk,S2E14,Marijo,2
Technischer KO bei Klitschkos Regiedebut,S3E09,Marijo,NULL
Weihnachtsgruß,NULL,Marijo,NULL
Ein Ding der Historie,DLC,Marijo,NULL
Die Drei von der Luftschleuse,S4E10,Phil,10
Mit dem Kopf durch die Wand,S2E10,Phil,9
Sexy Mom,S2E18,Phil,9
Blade Runner und die alte Dame,S4E15,Phil,9
Starbucks Bitch und die nukleare Ohrenkrise,S1E03,Phil,8
Schwangerschaftskotze,S1E10,Phil,8
Zwei für Unterwegs,S1E11 + S1E12,Phil,8
Lucy Lawless und die nackten Weltraumärsche,S2E08,Phil,8
Thanks Adama,S2E19 + S2E20,Phil,8
Baltars Billy geluftschleust,S3E05,Phil,8
Schwarzer Peter,S3E07,Phil,8
Der charismatische Katalysator mit schnödem Tuch über offenem Käfig,S3E08,Phil,8
Das ist eine pädagogische Entscheidung,S3E11,Phil,8
Xena boxen,S3E12,Phil,8
Nicht so Arm dran,S3E16,Phil,8
Vier Toaster im ironischen Nebel,S3E20,Phil,8
Rausgeblasen,S4E03,Phil,8
Sprung!,S4E07,Phil,8
So uncivilized,S4E11,Phil,8
"Ich liebe es, wenn ein Plan funktioniert",Film: The Plan,Phil,8
Mit dem Kopf durch das Waschbecken,S4E17,Phil,8
Die Zylonenfleischtheke und das vibrierende Fliwatüüt,S1E05,Phil,7
Moderne Holoknarren,S1E11,Phil,7
Crashdown,S2E03,Phil,7
Für zwei Tropfen du Blödmann,S2E04,Phil,7
Bibi & Tina,S2E15,Phil,7
Tief Luft holen,S2E17,Phil,7
The Eye of the Tigher,S3E01,Phil,7
Kein Funfact!,S3E02,Phil,7
Cavil - Allein zu Haus,S3E06,Phil,7
Baltar am Haken,S3E13,Phil,7
Sprengen!,S3E15,Phil,7
Sprichwortalarm,S3E18,Phil,7
Es ist im Schiff!,S3E19,Phil,7
Atomic Shawn of the Dead,Razor,Phil,7
Blutiger Rasierunfall,S4E01,Phil,7
Der Vorbote des Todes,S4E06,Phil,7
Kinderknast mit Michael,S4E08,Phil,7
Codename: Hot Dog ;-),S4E12,Phil,7
Kiffen bei Cottle,S4E18,Phil,7
Redshirt,S2E01,Phil,6
War nicht immer langweilig,S2E05,Phil,6
Chief Bilbo und die Logikbombe,S2E09,Phil,6
Krawattenträger des Jahres,S2E13,Phil,6
Strahlende Zukunft für Ricky Richardson,S3E10,Phil,6
Wenns Pipi brennt,S4E02,Phil,6
Es wurde auch Zeit,S4E09,Phil,6
Stärke kommt aus dem Inneren ... und Waffen!,S4E16,Phil,6
Chamalla-Extrakt mit den grünen Streifen,S1E04,Phil,5
Enhance,S1E07,Phil,5
Aggro JAG-Tante mit Hintergrund-Trommelmusik,S1E06,Phil,5
Kill Billy,S2E16,Phil,5
Für eine Handvoll Sellerie,Webisodes: The Resistance,Phil,5
Iehovah ist überall,S3E14,Phil,5
Head Ellen,S4E04,Phil,5
Water Bucket Challenge,S1E08,Phil,4
Die guten alten Übungen,S1E09,Phil,4
"Kopfschuss, nachladen, ... leer",S2E02,Phil,4
Sherlock Lee und Snacks für Fisk,S2E14,Phil,4
"11 Uhr Vater, 11 Uhr!",S3E17,Phil,4
Das hoffen wir alle,Pilotfilm – Miniserie Teil 2,Phil,3
Tigh auf dem Trockenen,S1E02,Phil,6
Schlaflos im Weltraum,S1E01,Phil,8
Ich übernehme das Kommando über die Flotte,Pilotfilm - Miniserie Teil 1,Phil,NULL
Im Weltraum hörst du nur den Regen,10-jähriges Serientreffen auf ATX Television Festival und Comic Con 2017,Phil,NULL
Technischer KO bei Klitschkos Regiedebut,S3E09,Phil,NULL
Weihnachtsgruß,NULL,Phil,NULL
Ein Ding der Historie,DLC,Phil,NULL
Podwichteln 2017,Podwichteln 2017,Puma-Björn,NULL
Podwichteln 2017,Podwichteln 2017,Puma-Leon,NULL
Podwichteln 2017,Podwichteln 2017,Puma-Wilke,NULL
Kein guter Hitler,S3E04,Tim,10
Der charismatische Katalysator mit schnödem Tuch über offenem Käfig,S3E08,Tim,10
Die Drei von der Luftschleuse,S4E10,Tim,10
[Murloc gurgeln],S4E13,Tim,10
Schmu der Luftschleuse,S4E14,Tim,10
Die guten alten Übungen,S1E09,Tim,9
Schwangerschaftskotze,S1E10,Tim,9
Lucy Lawless und die nackten Weltraumärsche,S2E08,Tim,9
Mit dem Kopf durch die Wand,S2E10,Tim,9
The Eye of the Tigher,S3E01,Tim,9
Sprung!,S4E07,Tim,9
So uncivilized,S4E11,Tim,9
Starbucks Bitch und die nukleare Ohrenkrise,S1E03,Tim,8
Moderne Holoknarren,S1E11,Tim,8
Zwei für Unterwegs,S1E11 + S1E12,Tim,8
Redshirt,S2E01,Tim,8
Mexican Standoff am Kindertisch,S2E11,Tim,8
Sexy Mom,S2E18,Tim,8
Admiral and Commander,S3E03,Tim,8
Baltars Billy geluftschleust,S3E05,Tim,8
Cavil - Allein zu Haus,S3E06,Tim,8
Schwarzer Peter,S3E07,Tim,8
Xena boxen,S3E12,Tim,8
Sprichwortalarm,S3E18,Tim,8
Vier Toaster im ironischen Nebel,S3E20,Tim,8
Atomic Shawn of the Dead,Razor,Tim,8
Der Vorbote des Todes,S4E06,Tim,8
Kinderknast mit Michael,S4E08,Tim,8
Codename: Hot Dog ;-),S4E12,Tim,8
Blade Runner und die alte Dame,S4E15,Tim,8
"Ich liebe es, wenn ein Plan funktioniert",Film: The Plan,Tim,8
Mit dem Kopf durch das Waschbecken,S4E17,Tim,8
Kiffen bei Cottle,S4E18,Tim,8
Chamalla-Extrakt mit den grünen Streifen,S1E04,Tim,7
Die Zylonenfleischtheke und das vibrierende Fliwatüüt,S1E05,Tim,7
Für zwei Tropfen du Blödmann,S2E04,Tim,7
Das hört jetzt auf,S2E06,Tim,7
Hypochonder und Astralkörper,S2E07,Tim,7
"Liebe ""Zuschauer"" ...",S2E12,Tim,7
Krawattenträger des Jahres,S2E13,Tim,7
Thanks Adama,S2E19 + S2E20,Tim,7
Kein Funfact!,S3E02,Tim,7
Strahlende Zukunft für Ricky Richardson,S3E10,Tim,7
Baltar am Haken,S3E13,Tim,7
Sprengen!,S3E15,Tim,7
Iehovah ist überall,S3E14,Tim,7
Nicht so Arm dran,S3E16,Tim,7
Blutiger Rasierunfall,S4E01,Tim,7
Rausgeblasen,S4E03,Tim,7
Es wurde auch Zeit,S4E09,Tim,7
Stärke kommt aus dem Inneren ... und Waffen!,S4E16,Tim,7
War nicht immer langweilig,S2E05,Tim,6
Chief Bilbo und die Logikbombe,S2E09,Tim,6
Bibi & Tina,S2E15,Tim,6
Kill Billy,S2E16,Tim,6
Tief Luft holen,S2E17,Tim,6
Das ist eine pädagogische Entscheidung,S3E11,Tim,6
"11 Uhr Vater, 11 Uhr!",S3E17,Tim,6
Es ist im Schiff!,S3E19,Tim,6
Wenns Pipi brennt,S4E02,Tim,6
Fünf Minuten hätten gereicht,S4E05,Tim,6
Aggro JAG-Tante mit Hintergrund-Trommelmusik,S1E06,Tim,5
Water Bucket Challenge,S1E08,Tim,5
Für eine Handvoll Sellerie,Webisodes: The Resistance,Tim,5
Head Ellen,S4E04,Tim,5
Enhance,S1E07,Tim,4
"Kopfschuss, nachladen, ... leer",S2E02,Tim,4
Kampfstern Galactica,Der Kinofilm,Tim,4
Das hoffen wir alle,Pilotfilm – Miniserie Teil 2,Tim,3
Schlaflos im Weltraum,S1E01,Tim,6
Tigh auf dem Trockenen,S1E02,Tim,6
Sherlock Lee und Snacks für Fisk,S2E14,Tim,3
Ich übernehme das Kommando über die Flotte,Pilotfilm - Miniserie Teil 1,Tim,NULL
Im Weltraum hörst du nur den Regen,10-jähriges Serientreffen auf ATX Television Festival und Comic Con 2017,Tim,NULL
Crashdown,S2E03,Tim,NULL
Technischer KO bei Klitschkos Regiedebut,S3E09,Tim,NULL
Weihnachtsgruß,NULL,Tim,NULL
Ein Ding der Historie,DLC,Tim,NULL
